week_start,required_cases,planned_cases,total_cost,optimization_status
2025-06-30,16266.191199583332,16266.191200000001,467423.26713999984,Optimal
2025-07-07,18210.11667,18210.116649999996,519611.6475699999,Optimal
2025-07-14,18323.93678416666,18323.936779999996,523685.43259000004,Optimal
2025-07-21,18292.986077083333,18292.986100000002,522079.36502,Optimal
2025-07-28,17606.709505833333,17606.709490000005,503084.20079000003,Optimal
2025-08-04,16731.114631666667,16731.114640000003,476824.86836999987,Optimal
2025-08-11,16927.633752916667,16927.63376,485314.47967000003,Optimal
2025-08-18,16603.720882916667,16603.720878,474951.969024,Optimal
2025-08-25,16595.286768749997,16595.28675,473914.33017,Optimal
2025-09-01,16507.943075,16507.943069999998,471742.11064999993,Optimal
2025-09-08,16540.20411375,16540.20409,472060.87866999995,Optimal
2025-09-15,16586.15410708333,16586.1541,473866.4570099999,Optimal
2025-09-22,16639.268747916667,16639.268770000002,474710.2200899999,Optimal
2025-09-29,16798.915799166665,16798.915800000002,481227.96688,Optimal
2025-10-06,16529.878980416666,16529.87898,472823.97808000003,Optimal
2025-10-13,16631.674622916667,16631.674610000002,474125.0766599999,Optimal
2025-10-20,17011.752411666665,17011.7524,486280.08964,Optimal
2025-10-27,16732.223364583333,16732.22336,478418.25234,Optimal
2025-11-03,16766.267533749997,16766.26751,479583.7338299999,Optimal
2025-11-10,16697.929939166665,16697.92995,477248.65831999993,Optimal
2025-11-17,16775.086552499997,16775.08654,478895.7163699999,Optimal
2025-11-24,16766.125797083332,16766.12582,478015.39506999974,Optimal
2025-12-01,16668.805656666667,16668.80563,475110.84383999987,Optimal
2025-12-08,16849.952080416668,16849.952060000003,479773.4249100002,Optimal
2025-12-15,16688.00835125,16688.00834,476098.8843299999,Optimal
2025-12-22,17120.553373749997,17120.55335,490199.4881300001,Optimal
2025-12-29,10068.142791249998,10068.142788,287709.6166399999,Optimal
